,TOU latex,TOU mean,TOU std,PC latex,PC mean,PC std,RTP latex,RTP mean,RTP std
CPL-8-1,1104.7 \pm 183.0,1104.7355,182.99939,632.6 \pm 692.6,632.63135,692.56647,,,
CPL-36-0,1167.2 \pm 229.6,1167.2087,229.57741,664.6 \pm 640.0,664.632,640.031,1423.4 \pm 374.3,1423.4253,374.333
MPCOneShot-1000,1128.2 \pm 213.1,1128.171,213.08025,,,,,,
MPC-48,1067.3 \pm 195.6,1067.3196,195.63428,646.2 \pm 608.4,646.1747,608.4454,1385.6 \pm 360.8,1385.5853,360.84082
CPL-4-1,1132.3 \pm 167.4,1132.2655,167.3575,987.7 \pm 1326.0,987.7136,1325.9569,1604.7 \pm 368.2,1604.6802,368.22705
CPL-4-0,2275.7 \pm 689.5,2275.7246,689.51697,1689.6 \pm 1347.1,1689.591,1347.1456,2247.1 \pm 663.6,2247.0972,663.6492
MPC-24,1194.6 \pm 248.8,1194.596,248.76256,991.7 \pm 946.3,991.6522,946.3293,1399.7 \pm 369.9,1399.7405,369.94324
CPL-12-0,1331.2 \pm 291.5,1331.2203,291.53186,1252.4 \pm 1045.7,1252.4207,1045.7428,1431.8 \pm 386.2,1431.828,386.19943
MPC-36,1124.8 \pm 219.6,1124.8416,219.58508,815.0 \pm 796.8,815.0346,796.7905,1392.7 \pm 365.2,1392.6559,365.204
MPC-8,1485.2 \pm 359.9,1485.165,359.87494,1224.8 \pm 1102.5,1224.7948,1102.508,1514.3 \pm 405.1,1514.2747,405.06848
CPL-8-1-lr=0.1,1418.6 \pm 356.0,1418.6024,355.98016,,,,,,
CPL-24-0,1219.7 \pm 253.5,1219.7482,253.5013,861.4 \pm 785.5,861.42944,785.4615,1416.0 \pm 375.7,1415.9598,375.73822
CPL-8-96-1-lr=0.01,1587.1 \pm 97.7,1587.1315,97.67168,1240.1 \pm 355.3,1240.094,355.25336,1339.2 \pm 153.4,1339.1902,153.39365
CPL-24-96-1-lr=0.1,1186.7 \pm 255.6,1186.6604,255.59169,,,,,,
CPL-4-96-1-lr=0.1,1685.4 \pm 329.1,1685.43,329.09976,1154.3 \pm 531.6,1154.2932,531.6388,1576.7 \pm 226.9,1576.6555,226.90398
CPL-4-96-1-lr=0.01,2376.1 \pm 197.4,2376.0645,197.3851,1566.7 \pm 310.4,1566.6931,310.39035,1964.8 \pm 298.2,1964.8363,298.20337
CPL-8-96-1-lr=0.1,1221.8 \pm 139.9,1221.772,139.87563,895.5 \pm 432.4,895.45593,432.36774,1326.4 \pm 129.1,1326.3542,129.11238
CPL-12-1-lr=0.1,1267.9 \pm 283.2,1267.8556,283.2274,,,,,,
CPL-48-0,1114.7 \pm 202.8,1114.6616,202.79211,546.1 \pm 488.0,546.06244,488.03128,1435.8 \pm 377.1,1435.8168,377.0887
CPL-12-96-1-lr=0.1,1261.2 \pm 280.9,1261.1613,280.86697,,,,1427.4 \pm 384.8,1427.3585,384.8292
MPC-12,1315.4 \pm 293.8,1315.4136,293.76892,1156.9 \pm 1055.8,1156.8619,1055.7812,1429.3 \pm 383.3,1429.3193,383.33514
MPCOneShot-100,1081.9 \pm 202.4,1081.8732,202.40845,,,,,,
MPCOneShot,1021.9 \pm 180.1,1021.88696,180.13545,331.5 \pm 85.5,331.54843,85.48901,1339.0 \pm 330.0,1338.977,330.04678
MPCOneShot-10,1047.5 \pm 191.1,1047.4899,191.09802,,,,1356.3 \pm 337.3,1356.3376,337.27533
DPC-96-0.001,1051.0 \pm 184.4,1050.9896,184.35135,696.0 \pm 700.7,696.04614,700.6826,1413.5 \pm 344.3,1413.549,344.2572
DPC-48-0.001,1046.7 \pm 183.0,1046.7096,182.98973,572.4 \pm 587.5,572.4455,587.53986,1417.2 \pm 353.6,1417.228,353.64096
CPL-8-0,1509.3 \pm 363.2,1509.2594,363.15305,1373.5 \pm 1129.2,1373.4774,1129.2451,1518.5 \pm 406.9,1518.5316,406.87762
MPC-4,2202.8 \pm 658.1,2202.778,658.07513,1409.1 \pm 1226.4,1409.0807,1226.4001,2242.4 \pm 656.4,2242.4077,656.434
MPCOneShot-0.1,1024.4 \pm 180.9,1024.4048,180.87236,,,,1340.9 \pm 331.0,1340.8582,330.95627
CPL-12-1,1099.1 \pm 188.3,1099.111,188.27527,,,,,,
DPC-48-0.000,1056.3 \pm 183.3,1056.3417,183.27365,680.0 \pm 738.6,679.99585,738.5798,1422.8 \pm 356.1,1422.8024,356.06543
CPL-4-1-lr=0.1,1956.0 \pm 660.5,1955.9814,660.49677,,,,,,
MPCOneShot-1,1029.6 \pm 182.9,1029.571,182.85568,,,,1345.3 \pm 333.2,1345.3236,333.21155
MPCOneShot-0.01,1022.5 \pm 180.4,1022.52686,180.35254,,,,1339.0 \pm 330.0,1338.977,330.04678
RLC,1126.5 \pm 220.9,1126.5282,220.92088,1138.2 \pm 1275.0,1138.2006,1274.956,1540.4 \pm 415.1,1540.3572,415.05627
CPL-12-96-1,,,,,,,1431.6 \pm 350.6,1431.6111,350.6027
CPL-24-96-1,,,,,,,1411.8 \pm 360.9,1411.8387,360.85526
CPL-8-96-1,,,,,,,1483.5 \pm 355.9,1483.4907,355.92743
DPC-96-0.010,,,,24522.1 \pm 14763.2,24522.084,14763.158,,,
