episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,71,19880,19880,False,0,1,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-15-53,1643174153,9.108844518661499,9.108844518661499,219786,r2i0n15,10.148.1.67,9.108844518661499,0,1,f97d2_00000,[],[],1247.181,15939.942,0.032,622259429.254,7838.351,2536.248,7.239,19880,19880,19880,19880,16.276923076923076,17.599999999999998,0.20000000298023224,4.999999873689376e-05,2065.4043,-0.0033805196,2065.406,0.00030108241,0.008386697,8.510638,0.0
-162.57928137433535,-571.2193070418834,-241.93124120040093,287.0,71,71,39760,39760,False,71,2,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-02,1643174162,8.190296173095703,17.299140691757202,219786,r2i0n15,10.148.1.67,17.299140691757202,0,2,f97d2_00000,"[-265.35250688064076, -174.6177939606905, -191.88950244796285, -281.28887975120546, -209.8398045313359, -212.76790129590051, -192.0833488698006, -241.48091957211494, -227.3484918670654, -230.90328814697264, -308.87137182486066, -162.57928137433535, -261.4265239171983, -233.46454368174076, -179.09253298795227, -228.94574136418106, -310.9753212717774, -263.70448559129227, -265.5348467196224, -211.85410101461414, -571.2193070418834, -226.27562465989595, -177.17837146282196, -208.1932767430543, -232.46628797602656, -194.78176279878613, -188.0789155068398, -242.90681573170428, -276.3518927019238, -181.85897511804103, -239.07020582675938, -245.2687048445941, -230.68648554193985, -195.3733519874811, -256.87157298684116, -491.00119043827044, -247.66433539533622, -228.65818310058123, -238.14238177180275, -224.09422690498846, -195.56692345845713, -317.67615164017667, -239.4710472872258, -310.9393304631709, -265.41485929572616, -245.32731018126003, -318.1719913818836, -192.11957580250493, -215.31094426703467, -192.6714052876234, -202.0887737295629, -208.85671124827866, -190.70053360080703, -176.07187615251559, -195.93824915301803, -270.8745751912597, -291.1853601956369, -279.37227881574637, -213.77732291257402, -305.04224618434927, -208.34603423333175, -268.58850760948656, -239.81989522433287, -246.5205329531431, -244.3864270826578, -215.52316024196148, -238.69780119848244, -246.52849387550344, -175.25095986425876, -266.6811467005014, -250.034644385159]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",944.584,21046.311,0.028,721928688.485,7680.935,2588.227,7.522,39760,39760,39760,39760,14.525,17.691666666666663,0.20000000298023224,4.999999873689376e-05,1123.3037,-0.002853364,1123.3054,0.0012358805,0.006011692,8.512566,0.0
-135.87674993133564,-451.63046234345427,-214.62186447880035,287.0,71,71,59640,59640,False,142,3,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-10,1643174170,8.104271173477173,25.403411865234375,219786,r2i0n15,10.148.1.67,25.403411865234375,0,3,f97d2_00000,"[-239.4710472872258, -310.9393304631709, -265.41485929572616, -245.32731018126003, -318.1719913818836, -192.11957580250493, -215.31094426703467, -192.6714052876234, -202.0887737295629, -208.85671124827866, -190.70053360080703, -176.07187615251559, -195.93824915301803, -270.8745751912597, -291.1853601956369, -279.37227881574637, -213.77732291257402, -305.04224618434927, -208.34603423333175, -268.58850760948656, -239.81989522433287, -246.5205329531431, -244.3864270826578, -215.52316024196148, -238.69780119848244, -246.52849387550344, -175.25095986425876, -266.6811467005014, -250.034644385159, -174.67027736639974, -198.24440275907511, -238.62793809342398, -198.01307377099968, -212.91052185273173, -153.32655426764487, -195.42399464964882, -152.73332681286348, -197.9483368741274, -166.74995686805246, -166.29803407263756, -180.75797867989544, -170.8726421066523, -164.1282676366568, -176.6976352201699, -259.922711493373, -210.21789435362808, -451.63046234345427, -213.8305900042057, -191.3105485304593, -390.55681526851635, -238.51827918088443, -167.50026914966125, -153.9089216942786, -183.31167204785345, -421.0455399572854, -188.2812801833152, -197.34358544218549, -217.24258006536974, -191.37481961929805, -291.0916934432981, -237.74670078968992, -169.32830635917196, -197.84110198670618, -202.57223757684213, -204.59231481063367, -205.779396017313, -155.72581160461905, -181.4937326548695, -201.48002635395525, -168.12851251149166, -197.01961747455604, -196.15192467129228, -194.85983120787145, -169.88950962603093, -186.29799012136465, -173.92214964288465, -170.62816396296046, -206.56407392120366, -217.831090073824, -169.67852246010307, -164.2401687664986, -389.65208238607653, -217.6293174878359, -200.90846346044546, -250.5135530753135, -196.14609392166153, -165.1484253430368, -228.0729279463292, -190.09736257946489, -213.71739414507138, -144.35396774971483, -204.40578408193596, -204.25193368911755, -165.7836244379281, -209.51271091377745, -197.85903201341625, -177.91058864510063, -135.87674993133564, -194.04951445972918, -176.3231406918168]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",847.406,23459.826,0.025,791608514.43,7596.566,2616.972,7.427,59640,59640,59640,59640,14.908333333333333,17.699999999999996,0.20000000298023224,4.999999873689376e-05,909.6201,-0.008112845,909.62604,0.2918767,0.011225971,8.4859085,0.0
-123.40384067928795,-522.9081308306452,-202.28054087806882,287.0,71,71,79520,79520,False,213,4,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-18,1643174178,8.081520557403564,33.48493242263794,219786,r2i0n15,10.148.1.67,33.48493242263794,0,4,f97d2_00000,"[-196.15192467129228, -194.85983120787145, -169.88950962603093, -186.29799012136465, -173.92214964288465, -170.62816396296046, -206.56407392120366, -217.831090073824, -169.67852246010307, -164.2401687664986, -389.65208238607653, -217.6293174878359, -200.90846346044546, -250.5135530753135, -196.14609392166153, -165.1484253430368, -228.0729279463292, -190.09736257946489, -213.71739414507138, -144.35396774971483, -204.40578408193596, -204.25193368911755, -165.7836244379281, -209.51271091377745, -197.85903201341625, -177.91058864510063, -135.87674993133564, -194.04951445972918, -176.3231406918168, -282.12364171457256, -292.6921407487391, -209.61227030360695, -208.18412323331827, -201.63467584168913, -123.40384067928795, -160.79042193281657, -175.3940030428171, -199.66939457452307, -235.3569485553504, -249.3699962350727, -160.79220224750037, -193.00110232377048, -143.8103907779455, -175.6941204084159, -158.8657367920876, -204.5260781184434, -212.99979067182534, -143.26571957683555, -174.59335307914023, -182.69894476068035, -522.9081308306452, -155.87879958105097, -176.08772007024285, -226.9892127295733, -192.47576970624925, -199.64484758102904, -206.5911747721433, -191.93064936006076, -210.6146611726286, -251.70837170684345, -194.13582983303078, -227.4381587510108, -178.41208672153954, -163.91960985481737, -239.47419081318378, -217.90759264957896, -247.34802142739287, -194.59231161856653, -124.9194442827701, -174.8712390227319, -151.68630180239677, -152.00024624049672, -268.9049209256172, -167.93865517628197, -272.1852573528288, -219.47165386420474, -198.35249035704132, -230.90062167525295, -204.25243106663228, -229.08554875481124, -161.74083756756784, -163.0436711790562, -167.69734261250508, -188.87397990715496, -231.79486811900142, -162.65463835644718, -234.4074052697421, -165.58889222133178, -148.2043642944098, -194.84628619074803, -139.33324024117, -210.33819638741025, -240.39295684701207, -321.13686000317347, -264.0179537204501, -193.09193282806876, -184.7910686886311, -220.5551237250566, -160.1436733022928, -282.0198596134186]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",796.548,24957.705,0.024,827620481.588,7550.967,2632.775,7.176,79520,79520,79520,79520,15.263636363636364,17.699999999999996,0.20000000298023224,4.999999873689376e-05,442.38702,-0.0048933974,442.3903,0.7039273,0.00799881,8.480509,0.0
-94.19080876886846,-480.94785754597183,-179.2156688256919,287.0,71,71,99400,99400,False,284,5,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-26,1643174186,8.155393123626709,41.64032554626465,219786,r2i0n15,10.148.1.67,41.64032554626465,0,5,f97d2_00000,"[-152.00024624049672, -268.9049209256172, -167.93865517628197, -272.1852573528288, -219.47165386420474, -198.35249035704132, -230.90062167525295, -204.25243106663228, -229.08554875481124, -161.74083756756784, -163.0436711790562, -167.69734261250508, -188.87397990715496, -231.79486811900142, -162.65463835644718, -234.4074052697421, -165.58889222133178, -148.2043642944098, -194.84628619074803, -139.33324024117, -210.33819638741025, -240.39295684701207, -321.13686000317347, -264.0179537204501, -193.09193282806876, -184.7910686886311, -220.5551237250566, -160.1436733022928, -282.0198596134186, -143.44054259985683, -124.9302217898369, -154.10238903272133, -150.501388002038, -392.0685149147509, -157.18015706098083, -123.2076574475765, -151.77704584205148, -131.87863477241984, -124.57430773365498, -134.02015417397024, -135.3466950259209, -155.4508124716282, -131.5511478962897, -162.60607684278486, -388.0025350692274, -159.11194927966585, -155.3726476069689, -233.88091754192115, -125.40173520910744, -193.60717066216455, -183.94324033296104, -107.37111408507819, -427.5170725629928, -121.20888820374014, -139.54619354963307, -121.8870643059015, -168.4260479009152, -210.1463656671047, -161.7986945103406, -118.17483928072454, -169.9469189691544, -138.45568320256467, -166.08212300026418, -164.71189026796804, -153.12462064182753, -123.95371464860443, -180.5393830889464, -150.11772360277186, -120.29017581617835, -162.35872186338906, -176.8919990095495, -154.15125681304932, -142.7823889659643, -156.1488663656115, -403.47184270572666, -142.77769129443166, -141.64479267513752, -94.19080876886846, -98.94906270527828, -147.53531291747078, -126.34051959860321, -136.0844994202852, -138.20808266949655, -185.33352669906608, -99.70538236784938, -147.42257150638105, -142.3920232782364, -236.93482768571383, -143.90616387701027, -107.96961077547078, -122.17812936759003, -141.06637362217904, -173.7205970531703, -140.22404628527164, -480.94785754597183, -143.4518583871722, -126.49628931248188, -154.35765436398984, -157.20133881556984, -263.70335475218303]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",765.463,25971.213,0.023,854331593.443,7539.166,2636.897,7.036,99400,99400,99400,99400,14.824999999999998,17.699999999999996,0.20000000298023224,4.999999873689376e-05,242.0493,-0.008952551,242.05576,0.8478224,0.012625998,8.482799,0.0
-81.44520633268354,-480.94785754597183,-156.20700945017217,287.0,71,71,119280,119280,False,355,6,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-34,1643174194,8.052599906921387,49.692925453186035,219786,r2i0n15,10.148.1.67,49.692925453186035,0,6,f97d2_00000,"[-154.15125681304932, -142.7823889659643, -156.1488663656115, -403.47184270572666, -142.77769129443166, -141.64479267513752, -94.19080876886846, -98.94906270527828, -147.53531291747078, -126.34051959860321, -136.0844994202852, -138.20808266949655, -185.33352669906608, -99.70538236784938, -147.42257150638105, -142.3920232782364, -236.93482768571383, -143.90616387701027, -107.96961077547078, -122.17812936759003, -141.06637362217904, -173.7205970531703, -140.22404628527164, -480.94785754597183, -143.4518583871722, -126.49628931248188, -154.35765436398984, -157.20133881556984, -263.70335475218303, -182.60777939981233, -194.29727974998954, -406.8093185079099, -177.00296948450801, -144.04131433928012, -443.66171657872206, -121.88578081905841, -156.03084783250094, -106.59429414641853, -155.76117416608324, -130.72007990622524, -111.58704605293282, -110.0862983063459, -155.11179449081416, -156.0469608262776, -120.64453662490845, -108.99828290295603, -425.8850035113094, -139.55509386837474, -175.86032850682747, -124.27425591695307, -120.11883796298501, -162.24890160179115, -88.8957122541666, -158.720365881443, -146.78506519651413, -106.04616556370263, -138.8698876014949, -155.41356283199778, -155.5352033121586, -96.95069688004268, -108.18154561436184, -129.52267410355802, -106.26378888213632, -177.90388430964944, -112.86275639951234, -167.04828274738793, -165.05786909902096, -268.0250570242405, -216.54173988735678, -119.80243666481975, -129.48841821742067, -130.7004510216712, -95.81526131939893, -156.23960373854635, -167.36373904883848, -129.33927151274688, -105.32363545119753, -102.34280953669544, -122.61338871490956, -109.93788211572185, -227.60947861278066, -135.52381633591656, -105.2984041579962, -107.18301136255265, -127.96490266621115, -110.59626191425325, -113.15260174906255, -81.44520633268354, -110.28767444092034, -148.72729500257958, -121.18316966044904, -105.98820550525188, -162.8864129613638, -269.8061761426923, -136.26503759586808, -121.82175626099101, -133.593729061246, -157.63133338499063, -174.56977416133887, -122.44891667914399]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",743.549,26736.654,0.023,862580312.276,7515.335,2645.258,6.957,119280,119280,119280,119280,14.716666666666667,17.699999999999996,0.20000000298023224,4.999999873689376e-05,146.13498,-0.0067874636,146.13997,0.85285735,0.00896432,8.428961,0.0
-61.690398772716534,-410.38197395187615,-126.2471183173311,287.0,71,71,139160,139160,False,426,7,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-42,1643174202,7.982710361480713,57.67563581466675,219786,r2i0n15,10.148.1.67,57.67563581466675,0,7,f97d2_00000,"[-130.7004510216712, -95.81526131939893, -156.23960373854635, -167.36373904883848, -129.33927151274688, -105.32363545119753, -102.34280953669544, -122.61338871490956, -109.93788211572185, -227.60947861278066, -135.52381633591656, -105.2984041579962, -107.18301136255265, -127.96490266621115, -110.59626191425325, -113.15260174906255, -81.44520633268354, -110.28767444092034, -148.72729500257958, -121.18316966044904, -105.98820550525188, -162.8864129613638, -269.8061761426923, -136.26503759586808, -121.82175626099101, -133.593729061246, -157.63133338499063, -174.56977416133887, -122.44891667914399, -92.87685698723797, -70.82285975897315, -97.82171222543728, -124.10262768161299, -77.78314159399274, -114.70930098021029, -65.09035092341898, -90.1054743081331, -98.61342948925498, -93.76119972431654, -124.730353873372, -93.39210481131073, -95.85976953148847, -130.3799526326656, -74.36030779707434, -100.82316819083688, -95.65780835247043, -129.53889849162093, -151.37611813926688, -124.89123132014275, -95.48868229299786, -142.05835516023635, -338.1581145107749, -145.97949389445776, -61.690398772716534, -94.99135813415052, -92.11261404228213, -79.26269862496855, -127.90600713157646, -142.19986991274342, -87.42900962042813, -106.42609481883045, -115.6968330825567, -127.48693984961513, -74.84831531679629, -116.66764346194266, -171.31151197171218, -110.15243591105947, -111.99720814716811, -89.89015255045898, -103.0457500642538, -144.2740670531987, -64.72599992585185, -171.89465192759027, -130.9878128759862, -113.69584182441237, -122.08949467599396, -121.15657812201982, -180.9896323086023, -130.95592100960005, -123.71891486287112, -87.90263126087186, -357.97385884773735, -115.23727359890934, -133.7046181942225, -108.42032953739181, -91.15649656069284, -79.82812856459624, -99.99988915884491, -86.5333432971239, -74.32982959914213, -227.47532896304142, -128.24080155879264, -113.3941453536748, -114.54664320099361, -103.26856380426892, -410.38197395187615, -150.28505377304558, -136.37820694160465, -145.72892149496076, -80.28151895260818]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",729.606,27247.584,0.023,877713300.211,7486.631,2655.4,6.893,139160,139160,139160,139160,15.02727272727273,17.699999999999996,0.20000000298023224,4.999999873689376e-05,74.37094,-0.0069037015,74.37618,0.8646273,0.008334803,8.414555,0.0
-53.51043438410762,-410.38197395187615,-106.56600026869774,287.0,71,71,159040,159040,False,497,8,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-50,1643174210,7.657256841659546,65.3328926563263,219786,r2i0n15,10.148.1.67,65.3328926563263,0,8,f97d2_00000,"[-64.72599992585185, -171.89465192759027, -130.9878128759862, -113.69584182441237, -122.08949467599396, -121.15657812201982, -180.9896323086023, -130.95592100960005, -123.71891486287112, -87.90263126087186, -357.97385884773735, -115.23727359890934, -133.7046181942225, -108.42032953739181, -91.15649656069284, -79.82812856459624, -99.99988915884491, -86.5333432971239, -74.32982959914213, -227.47532896304142, -128.24080155879264, -113.3941453536748, -114.54664320099361, -103.26856380426892, -410.38197395187615, -150.28505377304558, -136.37820694160465, -145.72892149496076, -80.28151895260818, -76.74090366315839, -75.9947098059058, -77.58772154068942, -66.99969323354964, -90.50179628336436, -56.260878903150555, -80.56080397582055, -108.06671580171587, -104.71126785302165, -97.64249893116943, -88.15710068690777, -97.69139356613161, -251.9429863115547, -66.60861999905109, -63.54459743332863, -77.28916980814934, -59.14576532566544, -109.74525630080709, -99.0474151608944, -104.42198141789437, -98.04133107692006, -97.17488240301601, -116.4168537812233, -72.22080684018138, -77.38523634684097, -71.5918863983155, -100.57707994377614, -70.04547485673423, -76.04815530633927, -107.22993927991394, -81.61194579946994, -83.29473530828952, -65.19260541695354, -63.78164720737937, -70.72841470301145, -104.37589602684982, -75.501365274608, -103.28251484954365, -67.16043105804926, -53.51043438410762, -62.53386884236337, -62.85494510865208, -105.94600329434869, -92.90294391489033, -94.5671549321413, -81.2864752116799, -97.93880632400506, -302.4107086830138, -64.34858702909946, -66.4757403216361, -64.19287751877309, -70.32781314384941, -116.68784241771701, -75.21534925508503, -90.09899607431889, -80.8649424399137, -95.455623813808, -91.87694334816935, -134.73833268272887, -94.82493974626067, -80.42644557946919, -314.0222656016353, -73.38663912940034, -102.90048825079205, -70.90294417583952, -93.81019071614747, -87.05295462799066, -84.66590179586404, -73.1101878055333, -137.8298062596322, -79.82799241423614]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",717.427,27710.15,0.022,884697756.18,7426.123,2677.036,6.849,159040,159040,159040,159040,15.363636363636363,17.699999999999996,0.20000000298023224,4.999999873689376e-05,101.199974,-0.0067618773,101.20511,0.84896076,0.008101846,8.400303,0.0
-39.50458710867165,-334.79267880702,-90.52277261568608,287.0,71,71,178920,178920,False,568,9,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-16-57,1643174217,7.319167375564575,72.65206003189087,219786,r2i0n15,10.148.1.67,72.65206003189087,0,9,f97d2_00000,"[-105.94600329434869, -92.90294391489033, -94.5671549321413, -81.2864752116799, -97.93880632400506, -302.4107086830138, -64.34858702909946, -66.4757403216361, -64.19287751877309, -70.32781314384941, -116.68784241771701, -75.21534925508503, -90.09899607431889, -80.8649424399137, -95.455623813808, -91.87694334816935, -134.73833268272887, -94.82493974626067, -80.42644557946919, -314.0222656016353, -73.38663912940034, -102.90048825079205, -70.90294417583952, -93.81019071614747, -87.05295462799066, -84.66590179586404, -73.1101878055333, -137.8298062596322, -79.82799241423614, -73.3773258110285, -299.3856923612355, -74.41002238214004, -57.63846623253823, -41.86989559054376, -100.5962781416178, -74.46429729449748, -76.59061935031416, -76.04638162660598, -81.05536454468967, -61.50293848073485, -86.81151710331443, -61.293172769725324, -62.51269622349739, -71.80165593934059, -46.473647793412226, -84.44143645632263, -58.508007632732394, -66.65573654079438, -40.83239897006755, -82.89267965924734, -81.14882389760015, -61.6893253623247, -46.45219943535324, -55.77686541211603, -71.27537104797364, -59.38083316206936, -68.45535451579092, -73.65784233915804, -82.58408695054058, -84.07184056961536, -65.16143314135078, -57.61053223443029, -334.79267880702, -99.20726005631687, -88.03238835525516, -57.236212954044326, -70.14492155873768, -281.18933320987225, -65.30714472925663, -77.52539271664608, -83.10588361442082, -48.29502047169209, -77.73086784553526, -79.99085850310317, -78.13472105002403, -70.61953094947343, -79.58785403966904, -63.389679364919665, -66.1817364772559, -57.449174569010765, -54.31073756563666, -43.64258702647687, -86.16718051528935, -54.58170819103721, -69.6712866431474, -58.11230155479905, -264.75265381765354, -61.72213455307488, -64.85522401428224, -79.29231976079949, -59.58937469208237, -71.23352744412425, -66.06607745695113, -67.18057357627154, -59.95869179427624, -129.93656979215137, -39.50458710867165, -266.1940370726587, -96.30221646881108, -76.76217776745551]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",709.67,28013.025,0.022,893386752.0,7339.582,2708.601,6.924,178920,178920,178920,178920,16.39,17.699999999999996,0.20000000298023224,4.999999873689376e-05,39.30054,-0.008326139,39.306934,0.8225999,0.009651474,8.388224,0.0
-32.2418139004707,-266.1940370726587,-70.71239577991486,287.0,71,71,198800,198800,False,639,10,f57496f2a12749d986d7aab50c234fa7,2022-01-25_22-17-05,1643174225,7.644063949584961,80.29612398147583,219786,r2i0n15,10.148.1.67,80.29612398147583,0,10,f97d2_00000,"[-48.29502047169209, -77.73086784553526, -79.99085850310317, -78.13472105002403, -70.61953094947343, -79.58785403966904, -63.389679364919665, -66.1817364772559, -57.449174569010765, -54.31073756563666, -43.64258702647687, -86.16718051528935, -54.58170819103721, -69.6712866431474, -58.11230155479905, -264.75265381765354, -61.72213455307488, -64.85522401428224, -79.29231976079949, -59.58937469208237, -71.23352744412425, -66.06607745695113, -67.18057357627154, -59.95869179427624, -129.93656979215137, -39.50458710867165, -266.1940370726587, -96.30221646881108, -76.76217776745551, -36.34153955125812, -168.31216317582127, -49.66207367312906, -54.143222953677125, -73.20702337193488, -104.47781519138819, -67.94913154745102, -59.434914949953544, -46.49232550847534, -82.58329426145544, -53.34541492104531, -98.99675461554521, -58.63434936869148, -65.68970480823516, -72.36625445830825, -104.5574068654776, -32.2418139004707, -47.395573483765126, -74.61297253155709, -34.97624551212786, -44.18670766663554, -85.01027001988888, -61.896065940857, -248.6002143256664, -239.88866730332361, -47.32591066241264, -41.75525153398516, -62.49458920013902, -53.96287733185286, -53.414681981801955, -78.41520860177276, -46.698672275424, -54.44672338867186, -113.98797564804545, -48.88961308777332, -65.8916608741284, -54.326406093120646, -50.64240286612508, -78.19761760973932, -35.451756238341325, -36.06559307181836, -36.507381842017175, -61.04756319320202, -61.94239037382606, -59.48701720631129, -77.91616926896575, -41.413995000123954, -52.583928662300124, -62.916858884930605, -64.73093037235739, -45.57340921699996, -58.73944928538805, -55.57632575404642, -37.35487542819977, -62.3707829159498, -75.01998125433919, -56.057073480725286, -46.32098913240429, -65.6955004317761, -43.103678653121015, -77.51952303302286, -75.47506918156147, -51.327170448184, -45.97478351080422, -45.341377373576165, -60.383085698008514, -74.76449954926964, -60.846668061017965, -47.33484084761143, -41.851086651325275, -47.87890282249448]","[287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287, 287]",703.34,28265.139,0.022,900461809.071,7302.739,2722.266,7.059,198800,198800,198800,198800,15.500000000000002,17.699999999999996,0.20000000298023224,4.999999873689376e-05,24.729612,-0.007051263,24.7346,0.7496244,0.010317047,8.323476,0.0
